"fecha_fallecimiento","sexo","agrp","dpt_cdc","n"
"2020-03-03","M","45-64","SAN MARTIN",1
"2020-03-07","F","18-44","LORETO",1
"2020-03-14","M","0-17","LIMA",1
"2020-03-16","F","18-44","AYACUCHO",1
"2020-03-16","F","65+","LIMA",1
"2020-03-16","M","18-44","LIMA",1
"2020-03-16","M","45-64","LIMA",1
"2020-03-17","F","45-64","JUNIN",1
"2020-03-17","F","65+","ICA",1
"2020-03-17","F","65+","LIMA",1
"2020-03-17","M","18-44","LORETO",1
"2020-03-17","M","65+","CUSCO",1
"2020-03-17","M","65+","UCAYALI",1
"2020-03-18","F","18-44","LIMA",1
"2020-03-18","M","18-44","LAMBAYEQUE",1
"2020-03-18","M","45-64","LIMA",1
"2020-03-18","M","65+","LIMA",1
"2020-03-18","M","65+","LORETO",1
"2020-03-19","F","18-44","LIMA",1
"2020-03-19","M","45-64","LIMA",1
"2020-03-19","M","65+","LIMA",3
"2020-03-20","F","65+","LIMA",1
"2020-03-20","F","65+","LORETO",1
"2020-03-20","M","18-44","LAMBAYEQUE",1
"2020-03-20","M","65+","LIMA",1
"2020-03-21","M","45-64","LAMBAYEQUE",1
"2020-03-21","M","45-64","UCAYALI",1
"2020-03-21","M","65+","LIMA",1
"2020-03-21","M","65+","PIURA",1
"2020-03-22","F","45-64","CALLAO",1
"2020-03-22","M","0-17","LORETO",1
"2020-03-22","M","0-17","PIURA",1
"2020-03-22","M","18-44","CALLAO",1
"2020-03-22","M","65+","LIMA",1
"2020-03-23","F","0-17","MADRE DE DIOS",1
"2020-03-23","F","65+","LIMA",2
"2020-03-23","M","18-44","LIMA",2
"2020-03-23","M","65+","LIMA",1
"2020-03-24","F","0-17","LORETO",1
"2020-03-24","F","65+","LA LIBERTAD",1
"2020-03-24","M","18-44","PUNO",1
"2020-03-24","M","45-64","ANCASH",1
"2020-03-24","M","45-64","LIMA",1
"2020-03-24","M","65+","LIMA",2
"2020-03-24","M","65+","LORETO",1
"2020-03-24","M","65+","UCAYALI",1
"2020-03-25","F","45-64","LIMA",1
"2020-03-25","F","45-64","LORETO",1
"2020-03-25","F","65+","PIURA",1
"2020-03-25","M","45-64","LIMA",1
"2020-03-25","M","65+","LIMA",1
"2020-03-25","M","65+","LORETO",1
"2020-03-26","F","45-64","LIMA",1
"2020-03-26","F","45-64","UCAYALI",1
"2020-03-26","M","45-64","LA LIBERTAD",1
"2020-03-26","M","45-64","LAMBAYEQUE",1
"2020-03-26","M","65+","LIMA",2
"2020-03-27","F","45-64","LIMA",1
"2020-03-27","F","65+","LIMA",1
"2020-03-27","F","65+","LORETO",1
"2020-03-27","F","65+","UCAYALI",1
"2020-03-27","M","0-17","LIMA",1
"2020-03-27","M","18-44","LIMA",1
"2020-03-27","M","45-64","ANCASH",1
"2020-03-27","M","65+","LIMA",5
"2020-03-28","F","18-44","LIMA",2
"2020-03-28","F","65+","ANCASH",1
"2020-03-28","F","65+","LIMA",1
"2020-03-28","M","18-44","LAMBAYEQUE",1
"2020-03-28","M","45-64","LIMA",1
"2020-03-28","M","65+","LIMA",2
"2020-03-29","F","0-17","LIMA",1
"2020-03-29","F","45-64","LIMA",1
"2020-03-29","F","65+","LAMBAYEQUE",1
"2020-03-29","F","65+","LIMA",3
"2020-03-29","F","65+","LORETO",1
"2020-03-29","F","65+","UCAYALI",1
"2020-03-29","M","18-44","LIMA",1
"2020-03-29","M","45-64","LORETO",1
"2020-03-29","M","45-64","PIURA",1
"2020-03-29","M","65+","LIMA",5
"2020-03-29","M","65+","LORETO",1
"2020-03-30","F","45-64","ICA",1
"2020-03-30","F","45-64","LIMA",1
"2020-03-30","F","65+","LA LIBERTAD",1
"2020-03-30","F","65+","LIMA",2
"2020-03-30","F","65+","UCAYALI",1
"2020-03-30","M","18-44","LIMA",1
"2020-03-30","M","18-44","UCAYALI",1
"2020-03-30","M","45-64","JUNIN",1
"2020-03-30","M","45-64","LIMA",4
"2020-03-30","M","45-64","LORETO",2
"2020-03-30","M","45-64","SAN MARTIN",1
"2020-03-30","M","45-64","TUMBES",1
"2020-03-30","M","65+","LAMBAYEQUE",1
"2020-03-30","M","65+","LIMA",2
"2020-03-30","M","65+","UCAYALI",1
"2020-03-31","F","45-64","LIMA",2
"2020-03-31","F","65+","CALLAO",2
"2020-03-31","F","65+","LIMA",2
"2020-03-31","M","18-44","LIMA",1
"2020-03-31","M","45-64","LA LIBERTAD",1
"2020-03-31","M","45-64","LIMA",3
"2020-03-31","M","45-64","LORETO",1
"2020-03-31","M","65+","AREQUIPA",1
"2020-03-31","M","65+","CALLAO",1
"2020-03-31","M","65+","LAMBAYEQUE",1
"2020-03-31","M","65+","LIMA",6
"2020-03-31","M","65+","SAN MARTIN",1
"2020-04-01","F","18-44","LIMA",1
"2020-04-01","F","45-64","LAMBAYEQUE",1
"2020-04-01","F","45-64","LIMA",1
"2020-04-01","F","45-64","TUMBES",1
"2020-04-01","F","65+","CALLAO",1
"2020-04-01","F","65+","LIMA",2
"2020-04-01","M","45-64","CALLAO",2
"2020-04-01","M","45-64","LIMA",2
"2020-04-01","M","45-64","LORETO",1
"2020-04-01","M","65+","AREQUIPA",2
"2020-04-01","M","65+","CALLAO",2
"2020-04-01","M","65+","ICA",1
"2020-04-01","M","65+","LIMA",2
"2020-04-01","M","65+","TACNA",1
"2020-04-02","F","45-64","AREQUIPA",1
"2020-04-02","F","45-64","LIMA",1
"2020-04-02","F","65+","AREQUIPA",2
"2020-04-02","F","65+","CALLAO",2
"2020-04-02","F","65+","ICA",1
"2020-04-02","F","65+","LIMA",1
"2020-04-02","M","18-44","LIMA",3
"2020-04-02","M","45-64","LA LIBERTAD",1
"2020-04-02","M","45-64","LIMA",3
"2020-04-02","M","65+","CALLAO",1
"2020-04-02","M","65+","ICA",1
"2020-04-02","M","65+","LIMA",4
"2020-04-02","M","65+","LORETO",1
"2020-04-03","F","18-44","LIMA",1
"2020-04-03","F","45-64","LIMA",3
"2020-04-03","F","45-64","PIURA",1
"2020-04-03","F","65+","AREQUIPA",2
"2020-04-03","F","65+","ICA",1
"2020-04-03","F","65+","LAMBAYEQUE",1
"2020-04-03","F","65+","LIMA",6
"2020-04-03","M","18-44","CALLAO",1
"2020-04-03","M","18-44","LIMA",2
"2020-04-03","M","45-64","ICA",1
"2020-04-03","M","45-64","LAMBAYEQUE",2
"2020-04-03","M","45-64","LIMA",6
"2020-04-03","M","45-64","TUMBES",1
"2020-04-03","M","45-64","UCAYALI",1
"2020-04-03","M","65+","AREQUIPA",1
"2020-04-03","M","65+","CALLAO",1
"2020-04-03","M","65+","ICA",1
"2020-04-03","M","65+","LAMBAYEQUE",1
"2020-04-03","M","65+","LIMA",12
"2020-04-03","M","65+","LORETO",1
"2020-04-03","M","65+","PIURA",1
"2020-04-04","F","45-64","ICA",1
"2020-04-04","F","45-64","LAMBAYEQUE",1
"2020-04-04","F","45-64","LIMA",1
