"fecha_fallecimiento","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-03-03","M","45-64","SAN MARTIN","HUALLAGA",1
"2020-03-07","F","18-44","LORETO","MAYNAS",1
"2020-03-14","M","0-17","LIMA","LIMA",1
"2020-03-16","F","18-44","AYACUCHO","HUAMANGA",1
"2020-03-16","F","65+","LIMA","LIMA",1
"2020-03-16","M","18-44","LIMA","LIMA",1
"2020-03-16","M","45-64","LIMA","LIMA",1
"2020-03-17","F","45-64","JUNIN","CHANCHAMAYO",1
"2020-03-17","F","65+","ICA","PALPA",1
"2020-03-17","F","65+","LIMA","LIMA",1
"2020-03-17","M","18-44","LORETO","MAYNAS",1
"2020-03-17","M","65+","CUSCO","PARURO",1
"2020-03-17","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-18","F","18-44","LIMA","LIMA",1
"2020-03-18","M","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-03-18","M","45-64","LIMA","LIMA",1
"2020-03-18","M","65+","LIMA","LIMA",1
"2020-03-18","M","65+","LORETO","MAYNAS",1
"2020-03-19","F","18-44","LIMA","LIMA",1
"2020-03-19","M","45-64","LIMA","LIMA",1
"2020-03-19","M","65+","LIMA","LIMA",3
"2020-03-20","F","65+","LIMA","LIMA",1
"2020-03-20","F","65+","LORETO","MAYNAS",1
"2020-03-20","M","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-03-20","M","65+","LIMA","LIMA",1
"2020-03-21","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-03-21","M","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-03-21","M","65+","LIMA","LIMA",1
"2020-03-21","M","65+","PIURA","SULLANA",1
"2020-03-22","F","45-64","CALLAO","CALLAO",1
"2020-03-22","M","0-17","LORETO","MAYNAS",1
"2020-03-22","M","0-17","PIURA","PIURA",1
"2020-03-22","M","18-44","CALLAO","CALLAO",1
"2020-03-22","M","65+","LIMA","LIMA",1
"2020-03-23","F","0-17","MADRE DE DIOS","TAMBOPATA",1
"2020-03-23","F","65+","LIMA","LIMA",2
"2020-03-23","M","18-44","LIMA","LIMA",2
"2020-03-23","M","65+","LIMA","LIMA",1
"2020-03-24","F","0-17","LORETO","ALTO AMAZONAS",1
"2020-03-24","F","65+","LA LIBERTAD","TRUJILLO",1
"2020-03-24","M","18-44","PUNO","CHUCUITO",1
"2020-03-24","M","45-64","ANCASH","SANTA",1
"2020-03-24","M","45-64","LIMA","LIMA",1
"2020-03-24","M","65+","LIMA","LIMA",2
"2020-03-24","M","65+","LORETO","MAYNAS",1
"2020-03-24","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-25","F","45-64","LIMA","LIMA",1
"2020-03-25","F","45-64","LORETO","MAYNAS",1
"2020-03-25","F","65+","PIURA","SULLANA",1
"2020-03-25","M","45-64","LIMA","LIMA",1
"2020-03-25","M","65+","LIMA","LIMA",1
"2020-03-25","M","65+","LORETO","MAYNAS",1
"2020-03-26","F","45-64","LIMA","LIMA",1
"2020-03-26","F","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-03-26","M","45-64","LA LIBERTAD","TRUJILLO",1
"2020-03-26","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-03-26","M","65+","LIMA","LIMA",2
"2020-03-27","F","45-64","LIMA","LIMA",1
"2020-03-27","F","65+","LIMA","LIMA",1
"2020-03-27","F","65+","LORETO","REQUENA",1
"2020-03-27","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-27","M","0-17","LIMA","BARRANCA",1
"2020-03-27","M","18-44","LIMA","LIMA",1
"2020-03-27","M","45-64","ANCASH","SANTA",1
"2020-03-27","M","65+","LIMA","LIMA",5
"2020-03-28","F","18-44","LIMA","LIMA",2
"2020-03-28","F","65+","ANCASH","SANTA",1
"2020-03-28","F","65+","LIMA","LIMA",1
"2020-03-28","M","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-03-28","M","45-64","LIMA","LIMA",1
"2020-03-28","M","65+","LIMA","LIMA",2
"2020-03-29","F","0-17","LIMA","LIMA",1
"2020-03-29","F","45-64","LIMA","LIMA",1
"2020-03-29","F","65+","LAMBAYEQUE","CHICLAYO",1
"2020-03-29","F","65+","LIMA","LIMA",3
"2020-03-29","F","65+","LORETO","MAYNAS",1
"2020-03-29","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-29","M","18-44","LIMA","LIMA",1
"2020-03-29","M","45-64","LORETO","MAYNAS",1
"2020-03-29","M","45-64","PIURA","PIURA",1
"2020-03-29","M","65+","LIMA","LIMA",5
"2020-03-29","M","65+","LORETO","MAYNAS",1
"2020-03-30","F","45-64","ICA","ICA",1
"2020-03-30","F","45-64","LIMA","LIMA",1
"2020-03-30","F","65+","LA LIBERTAD","TRUJILLO",1
"2020-03-30","F","65+","LIMA","LIMA",2
"2020-03-30","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-30","M","18-44","LIMA","LIMA",1
"2020-03-30","M","18-44","UCAYALI","CORONEL PORTILLO",1
"2020-03-30","M","45-64","JUNIN","HUANCAYO",1
"2020-03-30","M","45-64","LIMA","LIMA",4
"2020-03-30","M","45-64","LORETO","MAYNAS",2
"2020-03-30","M","45-64","SAN MARTIN","SAN MARTIN",1
"2020-03-30","M","45-64","TUMBES","ZARUMILLA",1
"2020-03-30","M","65+","LAMBAYEQUE","CHICLAYO",1
"2020-03-30","M","65+","LIMA","LIMA",2
"2020-03-30","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-31","F","45-64","LIMA","LIMA",2
"2020-03-31","F","65+","CALLAO","CALLAO",2
"2020-03-31","F","65+","LIMA","LIMA",2
"2020-03-31","M","18-44","LIMA","LIMA",1
"2020-03-31","M","45-64","LA LIBERTAD","TRUJILLO",1
"2020-03-31","M","45-64","LIMA","LIMA",3
"2020-03-31","M","45-64","LORETO","MARISCAL RAMON CASTILLA",1
"2020-03-31","M","65+","AREQUIPA","AREQUIPA",1
"2020-03-31","M","65+","CALLAO","CALLAO",1
"2020-03-31","M","65+","LAMBAYEQUE","CHICLAYO",1
"2020-03-31","M","65+","LIMA","HUAURA",1
"2020-03-31","M","65+","LIMA","LIMA",5
"2020-03-31","M","65+","SAN MARTIN","MOYOBAMBA",1
"2020-04-01","F","18-44","LIMA","LIMA",1
"2020-04-01","F","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-01","F","45-64","LIMA","LIMA",1
"2020-04-01","F","45-64","TUMBES","ZARUMILLA",1
"2020-04-01","F","65+","CALLAO","CALLAO",1
"2020-04-01","F","65+","LIMA","LIMA",2
"2020-04-01","M","45-64","CALLAO","CALLAO",2
"2020-04-01","M","45-64","LIMA","LIMA",2
"2020-04-01","M","45-64","LORETO","MAYNAS",1
"2020-04-01","M","65+","AREQUIPA","AREQUIPA",1
"2020-04-01","M","65+","AREQUIPA","CAMANA",1
"2020-04-01","M","65+","CALLAO","CALLAO",2
"2020-04-01","M","65+","ICA","CHINCHA",1
"2020-04-01","M","65+","LIMA","LIMA",2
"2020-04-01","M","65+","TACNA","TACNA",1
"2020-04-02","F","45-64","AREQUIPA","ISLAY",1
"2020-04-02","F","45-64","LIMA","LIMA",1
"2020-04-02","F","65+","AREQUIPA","AREQUIPA",2
"2020-04-02","F","65+","CALLAO","CALLAO",2
"2020-04-02","F","65+","ICA","ICA",1
"2020-04-02","F","65+","LIMA","LIMA",1
"2020-04-02","M","18-44","LIMA","LIMA",3
"2020-04-02","M","45-64","LA LIBERTAD","TRUJILLO",1
"2020-04-02","M","45-64","LIMA","LIMA",3
"2020-04-02","M","65+","CALLAO","CALLAO",1
"2020-04-02","M","65+","ICA","PISCO",1
"2020-04-02","M","65+","LIMA","LIMA",4
"2020-04-02","M","65+","LORETO","DATEM DEL MARAÑON",1
"2020-04-03","F","18-44","LIMA","LIMA",1
"2020-04-03","F","45-64","LIMA","LIMA",3
"2020-04-03","F","45-64","PIURA","MORROPON",1
"2020-04-03","F","65+","AREQUIPA","AREQUIPA",1
"2020-04-03","F","65+","AREQUIPA","CARAVELI",1
"2020-04-03","F","65+","ICA","ICA",1
"2020-04-03","F","65+","LAMBAYEQUE","CHICLAYO",1
"2020-04-03","F","65+","LIMA","LIMA",6
"2020-04-03","M","18-44","CALLAO","CALLAO",1
"2020-04-03","M","18-44","LIMA","HUARAL",1
"2020-04-03","M","18-44","LIMA","LIMA",1
"2020-04-03","M","45-64","ICA","ICA",1
"2020-04-03","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-04-03","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-03","M","45-64","LIMA","LIMA",6
"2020-04-03","M","45-64","TUMBES","TUMBES",1
"2020-04-03","M","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-04-03","M","65+","AREQUIPA","AREQUIPA",1
"2020-04-03","M","65+","CALLAO","CALLAO",1
"2020-04-03","M","65+","ICA","ICA",1
"2020-04-03","M","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-03","M","65+","LIMA","LIMA",12
"2020-04-03","M","65+","LORETO","MAYNAS",1
"2020-04-03","M","65+","PIURA","PIURA",1
"2020-04-04","F","45-64","ICA","PISCO",1
"2020-04-04","F","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-04","F","45-64","LIMA","LIMA",1
"2020-04-04","F","45-64","PIURA","SULLANA",1
"2020-04-04","F","65+","LA LIBERTAD","ASCOPE",1
"2020-04-04","F","65+","LAMBAYEQUE","CHICLAYO",1
"2020-04-04","F","65+","LIMA","LIMA",6
"2020-04-04","F","65+","PIURA","MORROPON",1
"2020-04-04","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-04-04","M","0-17","PIURA","SULLANA",1
"2020-04-04","M","0-17","UCAYALI","CORONEL PORTILLO",1
"2020-04-04","M","18-44","LIMA","LIMA",2
"2020-04-04","M","18-44","PIURA","PIURA",1
"2020-04-04","M","18-44","UCAYALI","CORONEL PORTILLO",1
"2020-04-04","M","45-64","AREQUIPA","AREQUIPA",1
"2020-04-04","M","45-64","LAMBAYEQUE","CHICLAYO",2
