"year_week","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-03-01","F","18-44","LORETO","MAYNAS",1
"2020-03-01","M","45-64","SAN MARTIN","HUALLAGA",1
"2020-03-08","M","0-17","LIMA","LIMA",1
"2020-03-15","F","18-44","AYACUCHO","HUAMANGA",1
"2020-03-15","F","18-44","LIMA","LIMA",2
"2020-03-15","F","45-64","JUNIN","CHANCHAMAYO",1
"2020-03-15","F","65+","ICA","PALPA",1
"2020-03-15","F","65+","LIMA","LIMA",3
"2020-03-15","F","65+","LORETO","MAYNAS",1
"2020-03-15","M","18-44","LAMBAYEQUE","CHICLAYO",2
"2020-03-15","M","18-44","LIMA","LIMA",1
"2020-03-15","M","18-44","LORETO","MAYNAS",1
"2020-03-15","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-03-15","M","45-64","LIMA","LIMA",3
"2020-03-15","M","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-03-15","M","65+","CUSCO","PARURO",1
"2020-03-15","M","65+","LIMA","LIMA",4
"2020-03-15","M","65+","LORETO","MAYNAS",1
"2020-03-15","M","65+","PIURA","SULLANA",1
"2020-03-15","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-22","F","0-17","LORETO","ALTO AMAZONAS",1
"2020-03-22","F","0-17","MADRE DE DIOS","TAMBOPATA",1
"2020-03-22","F","18-44","LIMA","LIMA",1
"2020-03-22","F","45-64","CALLAO","CALLAO",1
"2020-03-22","F","45-64","LIMA","LIMA",3
"2020-03-22","F","45-64","LORETO","MAYNAS",1
"2020-03-22","F","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-03-22","F","65+","ANCASH","SANTA",1
"2020-03-22","F","65+","LA LIBERTAD","TRUJILLO",1
"2020-03-22","F","65+","LIMA","LIMA",3
"2020-03-22","F","65+","LORETO","REQUENA",1
"2020-03-22","F","65+","PIURA","SULLANA",1
"2020-03-22","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-22","M","0-17","LIMA","BARRANCA",1
"2020-03-22","M","0-17","LORETO","MAYNAS",1
"2020-03-22","M","0-17","PIURA","PIURA",1
"2020-03-22","M","18-44","CALLAO","CALLAO",1
"2020-03-22","M","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-03-22","M","18-44","LIMA","LIMA",2
"2020-03-22","M","18-44","PUNO","CHUCUITO",1
"2020-03-22","M","45-64","ANCASH","SANTA",2
"2020-03-22","M","45-64","LA LIBERTAD","TRUJILLO",1
"2020-03-22","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-03-22","M","45-64","LIMA","LIMA",3
"2020-03-22","M","65+","LIMA","LIMA",7
"2020-03-22","M","65+","LORETO","MAYNAS",2
"2020-03-22","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-03-29","F","0-17","LIMA","LIMA",1
"2020-03-29","F","18-44","LIMA","LIMA",2
"2020-03-29","F","45-64","AREQUIPA","ISLAY",1
"2020-03-29","F","45-64","ICA","ICA",1
"2020-03-29","F","45-64","ICA","PISCO",1
"2020-03-29","F","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-03-29","F","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-03-29","F","45-64","LIMA","LIMA",7
"2020-03-29","F","45-64","PIURA","MORROPON",1
"2020-03-29","F","45-64","PIURA","SULLANA",1
"2020-03-29","F","45-64","TUMBES","ZARUMILLA",1
"2020-03-29","F","65+","AREQUIPA","AREQUIPA",2
"2020-03-29","F","65+","AREQUIPA","CARAVELI",1
"2020-03-29","F","65+","CALLAO","CALLAO",3
"2020-03-29","F","65+","ICA","ICA",2
"2020-03-29","F","65+","LA LIBERTAD","ASCOPE",1
"2020-03-29","F","65+","LA LIBERTAD","TRUJILLO",1
