"year","week","sexo","agrp","dpt_cdc","n"
2020,9,"M","45-64","SAN MARTIN",1
2020,10,"F","18-44","LORETO",1
2020,11,"F","18-44","AYACUCHO",1
2020,11,"F","45-64","JUNIN",1
2020,11,"F","65+","ICA",1
2020,11,"F","65+","LIMA",2
2020,11,"M","0-17","LIMA",1
2020,11,"M","18-44","LIMA",1
2020,11,"M","18-44","LORETO",1
2020,11,"M","45-64","LIMA",1
2020,11,"M","65+","CUSCO",1
2020,11,"M","65+","UCAYALI",1
2020,12,"F","0-17","LORETO",1
2020,12,"F","0-17","MADRE DE DIOS",1
2020,12,"F","18-44","LIMA",2
2020,12,"F","45-64","CALLAO",1
2020,12,"F","65+","LA LIBERTAD",1
2020,12,"F","65+","LIMA",3
2020,12,"F","65+","LORETO",1
2020,12,"M","0-17","LORETO",1
2020,12,"M","0-17","PIURA",1
2020,12,"M","18-44","CALLAO",1
2020,12,"M","18-44","LAMBAYEQUE",2
2020,12,"M","18-44","LIMA",2
2020,12,"M","18-44","PUNO",1
2020,12,"M","45-64","ANCASH",1
2020,12,"M","45-64","LAMBAYEQUE",1
2020,12,"M","45-64","LIMA",3
2020,12,"M","45-64","UCAYALI",1
2020,12,"M","65+","LIMA",10
2020,12,"M","65+","LORETO",2
2020,12,"M","65+","PIURA",1
2020,12,"M","65+","UCAYALI",1
2020,13,"F","0-17","LIMA",1
2020,13,"F","18-44","LIMA",2
2020,13,"F","45-64","ICA",1
2020,13,"F","45-64","LIMA",7
2020,13,"F","45-64","LORETO",1
2020,13,"F","45-64","UCAYALI",1
2020,13,"F","65+","ANCASH",1
2020,13,"F","65+","CALLAO",2
2020,13,"F","65+","LA LIBERTAD",1
2020,13,"F","65+","LAMBAYEQUE",1
2020,13,"F","65+","LIMA",9
2020,13,"F","65+","LORETO",2
2020,13,"F","65+","PIURA",1
2020,13,"F","65+","UCAYALI",3
2020,13,"M","0-17","LIMA",1
2020,13,"M","18-44","LAMBAYEQUE",1
2020,13,"M","18-44","LIMA",4
2020,13,"M","18-44","UCAYALI",1
2020,13,"M","45-64","ANCASH",1
2020,13,"M","45-64","JUNIN",1
2020,13,"M","45-64","LA LIBERTAD",2
2020,13,"M","45-64","LAMBAYEQUE",1
2020,13,"M","45-64","LIMA",9
2020,13,"M","45-64","LORETO",4
2020,13,"M","45-64","PIURA",1
2020,13,"M","45-64","SAN MARTIN",1
2020,13,"M","45-64","TUMBES",1
2020,13,"M","65+","AREQUIPA",1
2020,13,"M","65+","CALLAO",1
2020,13,"M","65+","LAMBAYEQUE",2
2020,13,"M","65+","LIMA",23
2020,13,"M","65+","LORETO",2
2020,13,"M","65+","SAN MARTIN",1
2020,13,"M","65+","UCAYALI",1
2020,14,"F","0-17","LAMBAYEQUE",1
2020,14,"F","0-17","UCAYALI",1
2020,14,"F","18-44","LIMA",2
2020,14,"F","18-44","LORETO",1
2020,14,"F","45-64","AREQUIPA",2
2020,14,"F","45-64","HUANUCO",1
2020,14,"F","45-64","ICA",1
2020,14,"F","45-64","LAMBAYEQUE",2
2020,14,"F","45-64","LIMA",14
2020,14,"F","45-64","PIURA",5
2020,14,"F","45-64","TUMBES",2
2020,14,"F","65+","AMAZONAS",1
2020,14,"F","65+","ANCASH",1
2020,14,"F","65+","AREQUIPA",4
2020,14,"F","65+","CAJAMARCA",1
2020,14,"F","65+","CALLAO",5
2020,14,"F","65+","ICA",4
2020,14,"F","65+","LA LIBERTAD",3
2020,14,"F","65+","LAMBAYEQUE",6
2020,14,"F","65+","LIMA",29
2020,14,"F","65+","LORETO",1
2020,14,"F","65+","PIURA",1
2020,14,"F","65+","SAN MARTIN",1
2020,14,"F","65+","UCAYALI",2
2020,14,"M","0-17","LIMA",1
2020,14,"M","0-17","PIURA",1
2020,14,"M","0-17","UCAYALI",1
2020,14,"M","18-44","ANCASH",1
2020,14,"M","18-44","CALLAO",2
2020,14,"M","18-44","JUNIN",1
2020,14,"M","18-44","LIMA",11
2020,14,"M","18-44","PIURA",1
2020,14,"M","18-44","UCAYALI",1
2020,14,"M","45-64","ANCASH",2
