id,DEPARTAMENTO,PROVINCIA,POBLACION
101,AMAZONAS,CHACHAPOYAS,"61,379"
102,AMAZONAS,BAGUA,84445
103,AMAZONAS,BONGARA,27416
104,AMAZONAS,CONDORCANQUI,51796
105,AMAZONAS,LUYA,48552
106,AMAZONAS,RODRIGUEZ DE MENDOZA,32524
107,AMAZONAS,UTCUBAMBA,120694
201,ANCASH,HUARAZ,181637
202,ANCASH,AIJA,6763
203,ANCASH,ANTONIO RAIMONDI,14714
204,ANCASH,ASUNCION,8092
205,ANCASH,BOLOGNESI,25592
206,ANCASH,CARHUAZ,49800
207,ANCASH,CARLOS FERMIN FITZCARRALD,19351
208,ANCASH,CASMA,55308
209,ANCASH,CORONGO,8115
210,ANCASH,HUARI,64695
211,ANCASH,HUARMEY,32734
212,ANCASH,HUAYLAS,57148
213,ANCASH,MARISCAL LUZURIAGA,22408
214,ANCASH,OCROS,7579
215,ANCASH,PALLASCA,25713
216,ANCASH,POMABAMBA,27375
217,ANCASH,RECUAY,18492
218,ANCASH,SANTA,468829
219,ANCASH,SIHUAS,29510
220,ANCASH,YUNGAY,56783
301,APURIMAC,ABANCAY,117485
302,APURIMAC,ANDAHUAYLAS,151896
303,APURIMAC,ANTABAMBA,11783
304,APURIMAC,AYMARAES,24868
305,APURIMAC,COTABAMBAS,54762
306,APURIMAC,CHINCHEROS,47855
307,APURIMAC,GRAU,22087
401,AREQUIPA,AREQUIPA,1165606
402,AREQUIPA,CAMANA,63248
403,AREQUIPA,CARAVELI,44179
404,AREQUIPA,CASTILLA,37741
405,AREQUIPA,CAYLLOMA,96625
406,AREQUIPA,CONDESUYOS,17926
407,AREQUIPA,ISLAY,58026
408,AREQUIPA,LA UNION,14087
501,AYACUCHO,HUAMANGA,305662
502,AYACUCHO,CANGALLO,33223
503,AYACUCHO,HUANCA SANCOS,8711
504,AYACUCHO,HUANTA,99310
505,AYACUCHO,LA MAR,79071
506,AYACUCHO,LUCANAS,54415
507,AYACUCHO,PARINACOCHAS,29774
508,AYACUCHO,PAUCAR DEL SARA SARA,9960
509,AYACUCHO,SUCRE,9565
510,AYACUCHO,VICTOR FAJARDO,20523
511,AYACUCHO,VILCAS HUAMAN,17999
601,CAJAMARCA,CAJAMARCA,379923
602,CAJAMARCA,CAJABAMBA,82286
